fluid_id,family,conc,mu_true_cP,n_rpms,n_flow,gammadot_min,gammadot_max,mu_app_low_cP,K_Pas_n,R2_powerlaw
Carbopol-980|0.3%,Carbopol-980,0.3%,90540.0,4,-0.18321889275942738,0.7999999999999999,1.9999999999999998,32533.433369725914,24.984124768962033,0.9238667804150422
Carbopol-980|0.4%,Carbopol-980,0.4%,354200.0,4,0.00275601120447988,0.19999999999999998,0.7999999999999999,70036.6282768613,14.069594953791027,0.9795161794259151
PEG-300K|10%,PEG-300K,10%,8331.60501162146,10,0.13269014101730958,5.999999999999999,23.999999999999996,30855.763571062624,145.9602334723616,0.6762837960172932
PEG-300K|5%,PEG-300K,5%,711.9,10,0.6309681350276456,79.99999999999999,259.99999999999994,6202.526713513463,31.25140092636679,0.8550407385494483
PEG-600K|10%,PEG-600K,10%,68300.0,4,0.5361190400422748,1.1999999999999997,1.7999999999999998,50184.67815953964,54.61372708421169,0.4358497992861401
PEG-600K|5%,PEG-600K,5%,4485.0,4,-0.0887697500149125,9.999999999999998,39.99999999999999,22479.41347331733,275.7748935156419,0.8898967452202152
PEG-600K|6.5%,PEG-600K,6.5%,4109.0,1,,23.999999999999996,23.999999999999996,14299.17256735413,,
Sepineo|1%,Sepineo,1%,2148.0,1,,45.99999999999999,45.99999999999999,6984.732663856914,,
Sepineo|1.5%,Sepineo,1.5%,17240.0,1,,5.799999999999999,5.799999999999999,17473.37629524402,,
Sepineo|2%,Sepineo,2%,82550.0,4,0.3304165619209427,0.9999999999999999,3.9999999999999996,35316.28767506905,35.31628767506904,0.9811413264803693
Silicone|100kcP,Silicone,,124033.0,1,1.0,0.7999999999999999,0.7999999999999999,117399.88586890385,117.39988586890385,
Silicone|10kcP,Silicone,,9152.0,1,1.0,10.999999999999996,10.999999999999996,9143.294619833561,9.143294619833561,
Silicone|12.5kcP,Silicone,,14576.0,1,1.0,6.999999999999999,6.999999999999999,14269.982637069064,14.269982637069065,
Silicone|15kcP,Silicone,,19036.0,1,1.0,5.199999999999999,5.199999999999999,18533.722361607244,18.533722361607246,
Silicone|1kcP,Silicone,,1073.0,1,1.0,94.0,94.0,1119.229359490588,1.119229359490588,
Silicone|20kcP,Silicone,,24396.0,1,1.0,4.199999999999999,4.199999999999999,24821.33807472747,24.82133807472747,
Silicone|25kcP,Silicone,,22760.0,1,1.0,4.4,4.4,23680.343066992227,23.68034306699223,
Silicone|2kcP,Silicone,,3345.0,1,1.0,29.999999999999993,29.999999999999993,3432.138892719784,3.432138892719784,
Silicone|30kcP,Silicone,,31903.0,1,1.0,3.3999999999999995,3.3999999999999995,31307.375118898064,31.307375118898065,
Silicone|35kcP,Silicone,,63253.0,1,1.0,1.5999999999999999,1.5999999999999999,63051.13150153913,63.05113150153913,
Silicone|40kcP,Silicone,,62756.0,1,1.0,1.5999999999999999,1.5999999999999999,66063.40729490036,66.06340729490036,
Silicone|45kcP,Silicone,,40820.0,1,1.0,2.3999999999999995,2.3999999999999995,41754.29294944014,41.75429294944014,
Silicone|4kcP,Silicone,,6603.0,1,1.0,15.999999999999998,15.999999999999998,6297.7686434095185,6.297768643409519,
Silicone|50kcP,Silicone,,79653.0,1,1.0,1.1999999999999997,1.1999999999999997,77391.59761796924,77.39159761796924,
Silicone|55kcP,Silicone,,48553.0,1,1.0,1.9999999999999998,1.9999999999999998,48018.127912779615,48.01812791277962,
Silicone|5kcP,Silicone,,5861.0,1,1.0,17.999999999999996,17.999999999999996,5634.840718488249,5.634840718488249,
Silicone|60kcP,Silicone,,68953.0,1,1.0,1.5999999999999999,1.5999999999999999,64686.79120649301,64.68679120649301,
Silicone|70kcP,Silicone,,87046.0,1,1.0,0.9999999999999999,0.9999999999999999,96918.69659842164,96.91869659842163,
Silicone|75kcP,Silicone,,70730.0,1,1.0,1.4,1.4,68929.43149985491,68.92943149985491,
Silicone|80kcP,Silicone,,103800.0,1,1.0,0.9999999999999999,0.9999999999999999,104350.6476713951,104.3506476713951,
Silicone|8kcP,Silicone,,8946.0,1,1.0,11.2,11.2,8803.875318067376,8.803875318067377,
Silicone|90kcP,Silicone,,102466.0,1,1.0,0.9999999999999999,0.9999999999999999,101388.09593627477,101.38809593627477,
Silicone|95kcP,Silicone,,93400.0,1,1.0,0.9999999999999999,0.9999999999999999,98895.88291758778,98.89588291758778,
Solagum|1%,Solagum,1%,522.2,1,,189.99999999999997,189.99999999999997,3797.67398751982,,
Solagum|2%,Solagum,2%,61800.0,4,0.15111471011345046,1.4,5.6,35550.30192932048,47.30305974332868,0.9956316100299539
Solagum|3%,Solagum,3%,214300.0,4,0.1266240435607986,0.39999999999999997,1.5999999999999999,70153.7493625014,31.513718488076844,0.9756652259984158
