fluid_id,mu_nom_cP,rpm,A,B,r2,A_per_rpm
1.0kcP,1073.0,47.0,0.006689551806579106,0.00532495461036189,0.9976843748794274,0.006689551806579106
2.0kcP,3345.0,15.0,0.06338834295733348,0.047058512564722946,0.9969377515648743,0.06338834295733348
5.0kcP,5861.0,9.0,0.1716544207414977,0.14547645050288155,0.9986135951655997,0.1716544207414977
4.0kcP,6603.0,8.0,0.21597841553261035,0.1916197640051502,0.9993010371965413,0.21597841553261035
8.0kcP,8946.0,5.6,0.42166290003353224,0.40934929207667947,0.9995834720110951,0.42166290003353224
10.0kcP,9152.0,5.5,0.4565065090276801,0.5208647549446346,0.998235786231961,0.4565065090276801
12.5kcP,14576.0,3.5,1.1098776906329813,1.0105241543666685,0.9995108585673269,1.1098776906329813
15.0kcP,19036.0,2.6,1.848651243520455,2.246047809733867,0.986930813961597,1.848651243520455
25.0kcP,22760.0,2.2,3.090493051785283,2.0723452643784728,0.9993337216391328,3.090493051785283
20.0kcP,24396.0,2.1,3.365550522965871,2.372857958596589,0.9977513201627052,3.365550522965871
30.0kcP,31903.0,1.7,5.369306239928956,4.081675336481022,0.9989102722210956,5.369306239928956
45.0kcP,40820.0,1.2,9.62888468227574,7.472577723917247,0.9991838961058513,9.62888468227574
55.0kcP,48553.0,1.0,12.794613289813778,12.296931056058057,0.9984609074988889,12.794613289813778
40.0kcP,62756.0,0.8,23.994048073954442,26.854573904077395,0.9946405908347533,23.994048073954442
35.0kcP,63253.0,0.8,21.861429155659618,17.11632217513087,0.9927758421555292,21.861429155659618
60.0kcP,68953.0,0.8,23.000298447281963,21.305348878474366,0.9967453247297594,23.000298447281963
75.0kcP,70730.0,0.7,26.318411535966245,23.938920098992853,0.9992755813056465,26.318411535966245
50.0kcP,79653.0,0.6,32.91768166849282,37.477453328388755,0.9964375454233163,32.91768166849282
70.0kcP,87046.0,0.5,51.86730404434757,49.28581982490149,0.9945052744731254,51.86730404434757
95.0kcP,93400.0,0.5,54.262194988177285,39.88005503367736,0.9983745399731424,54.262194988177285
90.0kcP,102466.0,0.5,56.65969962682803,56.037774346481406,0.9953449399266348,56.65969962682803
80.0kcP,103800.0,0.5,60.168289344185396,46.103172735213185,0.9955754743953016,60.168289344185396
100.0kcP,124033.0,0.4,76.06115404655317,82.72424501225152,0.9915173552878989,76.06115404655317
