family,fluid,conc,n,K_Pas_n,gammadot_min,gammadot_max
Silicone,1kcp,,1.0,1.0,,
Silicone,2kcp,,1.0,2.0,,
Silicone,4kcp,,1.0,4.0,,
Silicone,5kcp,,1.0,5.0,,
Silicone,8kcp,,1.0,8.0,,
Silicone,10kcp,,1.0,10.0,,
Silicone,12.5kcp,,1.0,12.5,,
Silicone,15kcp,,1.0,15.0,,
Silicone,20kcp,,1.0,20.0,,
Silicone,25kcp,,1.0,25.0,,
Silicone,30kcp,,1.0,30.0,,
Silicone,35kcp,,1.0,35.0,,
Silicone,40kcp,,1.0,40.0,,
Silicone,45kcp,,1.0,45.0,,
Silicone,50kcp,,1.0,50.0,,
Silicone,55kcp,,1.0,55.0,,
Silicone,60kcp,,1.0,60.0,,
Silicone,70kcp,,1.0,70.0,,
Silicone,75kcp,,1.0,75.0,,
Silicone,80kcp,,1.0,80.0,,
Silicone,90kcp,,1.0,90.0,,
Silicone,95kcp,,1.0,95.0,,
Silicone,100kcp,,1.0,100.0,,
Carbopol-980,Carbopol-980 0.3%,0.3%,-0.15132332133165316,33.77755327664608,0.7999999999999999,1.9999999999999998
Carbopol-980,Carbopol-980 0.4%,0.4%,-0.0019285682756353673,18.555616975683655,0.19999999999999998,0.7999999999999999
PEG-300K,PEG-300K 10%,10%,0.09065240792410378,199.6417235914125,5.999999999999999,17.999999999999996
PEG-300K,PEG-300K 5%,5%,0.6055516357990683,43.70880379963988,99.99999999999999,219.99999999999997
PEG-600K,PEG-600K 10%,10%,0.5011819931213733,75.39390361377552,1.1999999999999997,1.7999999999999998
PEG-600K,PEG-600K 5%,5%,-0.03543926007954323,331.43589543265546,9.999999999999998,39.99999999999999
Sepineo,Sepineo 2%,2%,0.3322775834715863,47.68796516140861,0.9999999999999999,3.9999999999999996
Solagum,Solagum 2%,2%,0.16390568420038498,62.84699174229325,1.4,5.6
Solagum,Solagum 3%,3%,0.1484372465852105,43.05155710252371,0.39999999999999997,1.5999999999999999
