sample,n_pts,model,success,RMSE,R2,AIC,A,A_se,h0,h0_se,B,B_se,visc_kcp
1kcp,16,regularized,True,0.0022993108818585967,0.999834979986966,-188.40466616077657,0.41208329219396134,0.01679556944233858,0.31065806165022974,0.00895838137350476,0.14464667248785879,0.018507155250559428,1.0
2kcp,16,regularized,True,0.011843866749482646,0.9995145112254905,-135.95024381670126,1.0216340449133976,0.0651504770984426,0.2705240201556095,0.012613040206361212,0.6504276834635463,0.07925394376884527,2.0
4kcp,21,regularized,True,0.015912603536741846,0.9997942450691263,-167.90703995659194,2.173531155164804,0.06797208916512469,0.29955127075711796,0.007086369565549703,1.0471316151235266,0.07143711244349438,4.0
5kcp,17,regularized,True,0.03809189125026692,0.9983248553275426,-105.10363081763754,1.5226000408059577,0.15712991719802252,0.24629043075077506,0.019275016761023365,1.3262918537651411,0.20064432151283101,5.0
8kcp,19,regularized,True,0.016495391731415433,0.999876127107003,-149.97762059138824,2.609906188458837,0.06706849547135894,0.26860030186727285,0.0052484332603244185,1.9804428821741318,0.07817945425580689,8.0
10kcp,21,regularized,True,0.06629930242700634,0.9982785590103646,-107.97018793896216,2.8042080916128267,0.24101701662508376,0.27536762305580037,0.018289377376292777,2.558298801062031,0.26825820057352473,10.0
12.5kcp,18,regularized,True,0.03212411623519277,0.9998124276733459,-117.77333686801383,4.073239836321102,0.13573538724819653,0.26178458626668966,0.006596856425789003,3.3506701721069674,0.16354483967763,12.5
15kcp,11,regularized,True,0.1580890505799409,0.9948461081945088,-34.581129456095745,4.697403842720639,1.5995247634049434,0.2594698443290727,0.06049406001457709,6.405955172199264,2.1984101100959244,15.0
20kcp,17,regularized,True,0.05986190540357132,0.9997876349134164,-89.73430816623248,6.450813404963679,0.23222893865704658,0.23855666329133907,0.006566294904109652,5.948698802702107,0.3030642237494404,20.0
25kcp,23,regularized,True,0.08427614464040048,0.9996397880350878,-107.78819604442504,7.147239346181165,0.24464479156567578,0.2629285918282173,0.007187539630982473,4.234321674019075,0.27312828292289915,25.0
30kcp,18,regularized,True,0.14007632976358078,0.9993817600906107,-64.76044052460772,7.752627903320623,0.4204225105475739,0.21843552236655606,0.009389838304231277,8.598553290989468,0.5722395473594449,30.0
35kcp,17,regularized,True,0.5045930213146078,0.99747372052622,-17.256104482148668,12.00565250212507,1.3141487361108042,0.19244764878674478,0.017054882202093866,21.69646995280329,1.9779795266137303,35.0
40kcp,17,regularized,True,0.15046711976544502,0.9998125471572431,-58.39636352736355,23.280992859211327,0.9082015976811807,0.29834044733905385,0.00841802686258177,17.56653589783372,1.0144244186718172,40.0
45kcp,22,regularized,True,0.07955891385456233,0.99988609128762,-105.37532898769172,13.923501611292682,0.301307093216402,0.292392957955919,0.004866324030322524,6.500714416860384,0.31760024848893736,45.0
50kcp,17,regularized,True,0.23836279772257987,0.9996162635566693,-42.75468779683877,28.364732435765763,1.6579930870755677,0.31965248506792127,0.013296718110395523,12.026076504153181,1.762542552653176,50.0
55kcp,25,regularized,True,0.19647705738281365,0.9994767464079137,-75.3604805405465,17.030999029302595,0.7098352241766314,0.31661916132015433,0.010239261213447594,8.072378398996824,0.6823931820514832,55.0
60kcp,17,regularized,True,0.08249130774789626,0.9999397376120848,-78.83211996201204,20.207125622897895,0.4243870014456751,0.27560970723435724,0.004267752205594574,15.508130580898458,0.5013097676455587,60.0
70kcp,18,regularized,True,0.18633279427568317,0.9998489102810547,-54.48795554907116,30.551027614463298,0.9808951291652294,0.2926924864187221,0.006912138010480253,20.42370961804179,1.0937348645382154,70.0
75kcp,22,regularized,True,0.11203450436326241,0.9999139236834601,-90.31372874025382,23.231826667741274,0.4431798550078634,0.29913544773765355,0.004363444436422719,11.475822310821982,0.4599578667459604,75.0
80kcp,18,regularized,True,1.0153295642030824,0.9968483915630975,6.5476771291776465,20.3636649261683,2.275618783917574,0.18561160504110014,0.017190200301974344,36.432618070714476,3.442562946711803,80.0
90kcp,17,regularized,True,0.11717948959892985,0.9999484613550534,-66.89764629959117,40.61145773933828,0.8975446181539438,0.3347666860461203,0.005209460569933897,15.417202331357446,0.9227112083510859,90.0
95kcp,21,regularized,True,0.13725992900276565,0.9999352377983827,-77.40691206742166,29.854241946977762,0.49647425770789955,0.2746362842024813,0.003531778685705648,17.410091397512193,0.5535821482706059,95.0
100kcp,17,regularized,True,0.18379523312351256,0.9998864726576188,-51.59372215383843,44.142196363884274,1.4677947823295923,0.3414751781573953,0.007958950168679731,19.616897573351977,1.4872611197819092,100.0
