time_s,rpm,torque_percent,viscosity_cp
1.02,4.5,39.38,8685.215244444444
2.03,4.5,46.91,10345.948377777777
3.03,4.5,53.86,11878.763155555556
4.05,4.5,62.72,13832.82631111111
5.01,4.5,66.24,14609.158399999998
6.02,4.5,69.68,15367.84657777778
7.03,4.5,66.94,14763.542622222223
8.03,4.5,65.93,14540.788244444448
9.05,4.5,65.54,14454.77417777778
10.02,4.5,66.4,14644.446222222223
11.03,4.5,66.13,14584.898022222224
12.0,4.5,65.97,14549.610200000001
13.01,4.5,66.73,14717.227355555557
14.03,4.5,66.5,14666.501111111113
15.04,4.5,66.16,14591.514488888888
16.05,4.5,66.54,14675.323066666668
17.01,4.5,65.84,14520.938844444445
18.12,4.5,66.08,14573.870577777778
19.03,4.5,68.25,15052.461666666666
20.04,4.5,68.72,15156.119644444445
21.05,4.5,67.71,14933.365266666668
22.02,4.5,67.33,14849.556688888888
23.03,4.5,66.98,14772.364577777778
24.01,4.5,67.07,14792.213977777777
25.03,4.5,67.72,14935.570755555556
26.04,4.5,66.59,14686.350511111112
27.04,4.5,68.73,15158.325133333336
28.01,4.5,68.41,15087.749488888887
29.02,4.5,68.52,15112.009866666667
30.03,4.5,68.74,15160.53062222222
31.04,4.5,69.05,15228.900777777777
32.02,4.5,69.37,15299.476422222224
33.02,4.5,70.31,15506.79237777778
34.03,4.5,69.44,15314.914844444445
35.02,4.5,68.34,15072.311066666667
36.03,4.5,67.53,14893.666466666667
37.03,4.5,67.2,14820.885333333335
38.04,4.5,67.3,14842.940222222222
39.0,4.5,66.95,14765.748111111112
40.02,4.5,68.33,15070.105577777776
41.04,4.5,68.43,15092.16046666667
42.05,4.5,68.01,14999.529933333335
43.03,4.5,67.87,14968.65308888889
44.04,4.5,67.78,14948.803688888891
45.0,4.5,67.45,14876.022555555557
46.02,4.5,69.41,15308.298377777777
47.02,4.5,69.4,15306.09288888889
48.04,4.5,68.97,15211.256866666667
49.0,4.5,68.71,15153.914155555556
50.03,4.5,68.17,15034.817755555556
51.04,4.5,68.12,15023.790311111112
52.04,4.5,67.47,14880.433533333333
53.0,4.5,67.63,14915.721355555557
54.01,4.5,68.55,15118.626333333332
55.02,4.5,68.45,15096.571444444446
56.02,4.5,68.61,15131.859266666666
57.04,4.5,68.15,15030.40677777778
58.0,4.5,67.52,14891.460977777777
59.02,4.5,69.06,15231.106266666666
